name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
East 6th Street,102,5591097,4106,4263,,47.61863659309744,1,29,,unclassified,11,"LINESTRING (-111.9076414 33.4245598, -111.9076366 33.4246372, -111.9075971 33.424732, -111.9075206 33.4248041, -111.9074219 33.4248741, -111.9073698 33.424889)",walk,1
East 6th Street,103,5591097,4106,35,,4.676416116946958,1,29,,unclassified,11,"LINESTRING (-111.9076414 33.4245598, -111.907644 33.4245178)",walk,1
East 6th Street,104,5591097,35,4106,,4.676416116946958,1,29,,unclassified,11,"LINESTRING (-111.907644 33.4245178, -111.9076414 33.4245598)",walk,1
East 6th Street,105,5591100,941,4054,,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581)",walk,1
East 6th Street,106,5591100,4054,941,,7.6579798258827,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9376334 33.4243567)",walk,1
East 6th Street,107,5591100,4054,4050,,17.89278234335368,1,25,,residential,6,"LINESTRING (-111.9375509 33.4243581, -111.9373581 33.4243583)",walk,1
East 6th Street,108,5591100,4050,4054,,17.89278234335368,1,25,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9375509 33.4243581)",walk,1
East 6th Street,109,5591100,4050,3031,,55.76646795853259,1,25,,residential,6,"LINESTRING (-111.9373581 33.4243583, -111.9367572 33.424359)",walk,1
East 6th Street,110,5591100,3031,4050,,55.76646795853259,1,25,,residential,6,"LINESTRING (-111.9367572 33.424359, -111.9373581 33.4243583)",walk,1
East 6th Street,111,5591100,3031,36,,8.463806439416324,1,25,,residential,6,"LINESTRING (-111.9367572 33.424359, -111.936666 33.4243591)",walk,1
East 6th Street,112,5591100,36,3031,,8.463806439416324,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359)",walk,1
East 6th Street,113,5591100,36,3030,,9.79113526020243,1,25,,residential,6,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597)",walk,1
East 6th Street,114,5591100,3030,36,,9.79113526020243,1,25,,residential,6,"LINESTRING (-111.9365605 33.4243597, -111.936666 33.4243591)",walk,1
East 6th Street,115,5591100,3030,2299,,30.32014810520578,1,25,,residential,6,"LINESTRING (-111.9365605 33.4243597, -111.9362338 33.4243617)",walk,1
East 6th Street,116,5591100,2299,3030,,30.32014810520578,1,25,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9365605 33.4243597)",walk,1
East 6th Street,117,5591100,2299,4309,,35.05323075738288,1,25,,residential,6,"LINESTRING (-111.9362338 33.4243617, -111.9358561 33.4243639)",walk,1
East 6th Street,118,5591100,4309,2299,,35.05323075738288,1,25,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9362338 33.4243617)",walk,1
East 6th Street,119,5591100,4309,2305,,32.324758324732635,1,25,,residential,6,"LINESTRING (-111.9358561 33.4243639, -111.9355078 33.424366)",walk,1
East 6th Street,120,5591100,2305,4309,,32.324758324732635,1,25,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9358561 33.4243639)",walk,1
East 6th Street,121,5591100,2305,4327,,10.83782252451541,1,25,,residential,6,"LINESTRING (-111.9355078 33.424366, -111.9353948 33.4243414)",walk,1
East 6th Street,122,5591100,4327,2305,,10.83782252451541,1,25,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9355078 33.424366)",walk,1
East 6th Street,123,5591100,4327,2529,,27.761202271767132,1,25,,residential,6,"LINESTRING (-111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366)",walk,1
East 6th Street,124,5591100,2529,4327,,27.761202271767132,1,25,,residential,6,"LINESTRING (-111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414)",walk,1
East 6th Street,125,5591100,2529,300,,10.721265788520709,1,25,,residential,6,"LINESTRING (-111.9350964 33.4243366, -111.9349809 33.4243346)",walk,1
East 6th Street,126,5591100,300,2529,,10.721265788520709,1,25,,residential,6,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366)",walk,1
South Maple Avenue,127,5591429,37,4602,,67.33722260145771,1,29,,residential,6,"LINESTRING (-111.9412608 33.4219305, -111.9412432 33.4213251)",walk,1
